UNIQUE_ID,STATION_ID,DATE,SAMPLE_NUMBER,AGENCY_CODE,METHOD,FINAL_ID,REPORTING_VALUE
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,ACENTRELLA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,ACRONEURIA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,AGNETINA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,ANTHOPOTAMUS,3
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,ARGIA,7
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,BRACHYCENTRUS,2
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,CHEUMATOPSYCHE,24
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,CHIMARRA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,CHIRONOMIDAE,8
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,CORBICULA,5
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,GAMMARUS,6
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,HYDROPSYCHE,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,HYDROPSYCHIDAE,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,ISONYCHIA,15
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,MACCAFFERTIUM,11
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,MACRONYCHUS,2
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,NEOPERLA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,NEURECLIPSIS,7
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,NEUROCORDULIA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,OLIGOCHAETA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,PHYSA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,PLAUDITUS,4
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,POLYCENTROPUS,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,STENACRON,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,ICPRB,Kick Net,STENELMIS,9
