"UNIQUE_ID","STATION_ID","AGENCY_CODE","DATE","METHOD","SAMPLE_NUMBER","CONDITION","REACH","YEAR","REACH_YEAR","ISSUE","WARNING","FINAL_ID","AGENCY_ID","REPORTING_VALUE","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","SUBORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","SPECIES"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","ACENTRELLA","ACENTRELLA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","ACENTRELLA","ACENTRELLA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","ACRONEURIA","ACRONEURIA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","PLECOPTERA","SYSTELLOGNATHA","PERLIDAE","ACRONEURIINAE","ACRONEURIINI","ACRONEURIA","ACRONEURIA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","AGNETINA","AGNETINA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","PLECOPTERA","SYSTELLOGNATHA","PERLIDAE","PERLINAE","PERLINI","AGNETINA","AGNETINA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","ANTHOPOTAMUS","ANTHOPOTAMUS",3,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","FURCATERGALIA","POTAMANTHIDAE","POTAMANTHIDAE","POTAMANTHIDAE","ANTHOPOTAMUS","ANTHOPOTAMUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","ARGIA","ARGIA",7,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","ODONATA","ZYGOPTERA","COENAGRIONIDAE","COENAGRIONIDAE","COENAGRIONIDAE","ARGIA","ARGIA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","BRACHYCENTRUS","BRACHYCENTRUS",2,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","INTEGRIPALPIA","BRACHYCENTRIDAE","BRACHYCENTRIDAE","BRACHYCENTRIDAE","BRACHYCENTRUS","BRACHYCENTRUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","CHEUMATOPSYCHE","CHEUMATOPSYCHE",24,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","HYDROPSYCHIDAE","HYDROPSYCHINAE","HYDROPSYCHINAE","CHEUMATOPSYCHE","CHEUMATOPSYCHE"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","CHIMARRA","CHIMARRA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","PHILOPOTAMIDAE","CHIMARRINAE","CHIMARRINAE","CHIMARRA","CHIMARRA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","CHIRONOMIDAE","CHIRONOMIDAE",8,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMIDAE","CHIRONOMIDAE","CHIRONOMIDAE","CHIRONOMIDAE"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","CORBICULA","CORBICULA",5,"MOLLUSCA","MOLLUSCA","BIVALVIA","HETERODONTA","VENEROIDA","VENEROIDA","CORBICULIDAE","CORBICULIDAE","CORBICULIDAE","CORBICULA","CORBICULA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","GAMMARUS","GAMMARUS",6,"ARTHROPODA","CRUSTACEA","MALACOSTRACA","EUMALACOSTRACA","AMPHIPODA","GAMMARIDEA","GAMMARIDAE","GAMMARIDAE","GAMMARIDAE","GAMMARUS","GAMMARUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","HYDROPSYCHE","HYDROPSYCHE",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","HYDROPSYCHIDAE","HYDROPSYCHINAE","HYDROPSYCHINAE","HYDROPSYCHE","HYDROPSYCHE"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","HYDROPSYCHIDAE","HYDROPSYCHIDAE",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","HYDROPSYCHIDAE","HYDROPSYCHIDAE","HYDROPSYCHIDAE","HYDROPSYCHIDAE","HYDROPSYCHIDAE"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","ISONYCHIA","ISONYCHIA",15,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","ISONYCHIIDAE","ISONYCHIIDAE","ISONYCHIIDAE","ISONYCHIA","ISONYCHIA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","MACCAFFERTIUM","MACCAFFERTIUM",11,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIIDAE","MACCAFFERTIUM","MACCAFFERTIUM"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","MACRONYCHUS","MACRONYCHUS",2,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","COLEOPTERA","POLYPHAGA","ELMIDAE","ELMINAE","MACRONYCHINI","MACRONYCHUS","MACRONYCHUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","NEOPERLA","NEOPERLA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","PLECOPTERA","SYSTELLOGNATHA","PERLIDAE","PERLINAE","NEOPERLINI","NEOPERLA","NEOPERLA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","NEURECLIPSIS","NEURECLIPSIS",7,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","POLYCENTROPODIDAE","POLYCENTROPODINAE","POLYCENTROPODINAE","NEURECLIPSIS","NEURECLIPSIS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","NEUROCORDULIA","NEUROCORDULIA",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","ODONATA","ANISOPTERA","CORDULIIDAE","CORDULIINAE","CORDULIINAE","NEUROCORDULIA","NEUROCORDULIA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","OLIGOCHAETA","OLIGOCHAETA",1,"ANNELIDA","CLITELLATA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA","OLIGOCHAETA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","PHYSA","PHYSA",1,"MOLLUSCA","MOLLUSCA","GASTROPODA","GASTROPODA","BASOMMATOPHORA","BASOMMATOPHORA","PHYSIDAE","PHYSIDAE","PHYSIDAE","PHYSA","PHYSA"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","PLAUDITUS","PLAUDITUS",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","PLAUDITUS","PLAUDITUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","POLYCENTROPUS","POLYCENTROPUS",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","POLYCENTROPODIDAE","POLYCENTROPODINAE","POLYCENTROPODINAE","POLYCENTROPUS","POLYCENTROPUS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","STENACRON","STENACRON",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIIDAE","STENACRON","STENACRON"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","STENELMIS","STENELMIS",9,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","COLEOPTERA","POLYPHAGA","ELMIDAE","ELMINAE","ELMINI","STENELMIS","STENELMIS"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","TAENIOPTERYX","TAENIOPTERYX",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","PLECOPTERA","EUHOLOGNATHA","TAENIOPTERYGIDAE","TAENIOPTERYGINAE","TAENIOPTERYGINAE","TAENIOPTERYX","TAENIOPTERYX"
"CR_2012",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2012,"CR_2012","NO","NO","TRICORYTHODES","TRICORYTHODES",2,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","FURCATERGALIA","LEPTOHYPHIDAE","LEPTOHYPHIDAE","LEPTOHYPHIDAE","TRICORYTHODES","TRICORYTHODES"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","ACENTRELLA","ACENTRELLA",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","ACENTRELLA","ACENTRELLA"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","AGNETINA","AGNETINA",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","PLECOPTERA","SYSTELLOGNATHA","PERLIDAE","PERLINAE","PERLINI","AGNETINA","AGNETINA"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","ANTHOPOTAMUS","ANTHOPOTAMUS",6,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","FURCATERGALIA","POTAMANTHIDAE","POTAMANTHIDAE","POTAMANTHIDAE","ANTHOPOTAMUS","ANTHOPOTAMUS"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","BAETIDAE","BAETIDAE",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","BAETIDAE","BAETIDAE"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","BAETIS","BAETIS",14,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","BAETIS","BAETIS"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","CHEUMATOPSYCHE","CHEUMATOPSYCHE",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","HYDROPSYCHIDAE","HYDROPSYCHINAE","HYDROPSYCHINAE","CHEUMATOPSYCHE","CHEUMATOPSYCHE"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","CNEPHIA","CNEPHIA",4,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","SIMULIIDAE","SIMULIINAE","PROSIMULIINI","CNEPHIA","CNEPHIA"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","CORBICULA","CORBICULA",2,"MOLLUSCA","MOLLUSCA","BIVALVIA","HETERODONTA","VENEROIDA","VENEROIDA","CORBICULIDAE","CORBICULIDAE","CORBICULIDAE","CORBICULA","CORBICULA"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","HETEROCLOEON","HETEROCLOEON",7,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","BAETIDAE","BAETIDAE","BAETIDAE","HETEROCLOEON","HETEROCLOEON"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","HYDROPSYCHE","HYDROPSYCHE",5,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","TRICHOPTERA","ANNULIPALPIA","HYDROPSYCHIDAE","HYDROPSYCHINAE","HYDROPSYCHINAE","HYDROPSYCHE","HYDROPSYCHE"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","LEUCROCUTA","LEUCROCUTA",5,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIIDAE","LEUCROCUTA","LEUCROCUTA"
"CR_2013",1,"ICPRB",1,"Kick Net",1,"NONE","CR",2013,"CR_2013","NO","NO","MACCAFFERTIUM","MACCAFFERTIUM",1,"ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","EPHEMEROPTERA","PISCIFORMA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIIDAE","MACCAFFERTIUM","MACCAFFERTIUM"
