Reach,Taxon,Overall,2012,2013,2014
Carderock,Stenelmis,1871,456,547,868
Carderock,Cheumatopsyche,580,188,157,235
Carderock,Baetis,246,46,178,22
Carderock,Corbicula,200,84,27,89
Carderock,Anthopotamus,172,71,42,59
Carderock,Hydropsyche,157,48,79,30
Carderock,Isonychia,149,112,22,15
Carderock,Heterocloeon,138,10,51,77
Carderock,Maccaffertium,137,71,47,19
Carderock,Brachycentrus,127,60,67,0
Carderock,Macrostemum,117,46,11,60
Carderock,Agnetina,107,61,45,1
Carderock,Tricorythodes,92,10,60,22
Carderock,Leucrocuta,76,7,67,2
Carderock,Protoptila,76,0,0,76
Carderock,Petrophila,67,33,26,8
Carderock,Orthotrichia,59,0,59,0
Carderock,Plauditus,53,40,7,6
Carderock,Leptoxis,49,21,28,0
Carderock,Baetis intercalaris,45,0,0,45
Carderock,Chironomidae,42,39,3,0
Carderock,Gammarus,42,26,0,16
Carderock,Neoperla,38,21,14,3
Carderock,Neureclipsis,29,27,2,0
Carderock,Optioservus,27,10,6,11
Carderock,Orthocladiinae,22,0,22,0
Carderock,Chimarra obscura,21,0,0,21
Carderock,Argia,20,18,2,0
Carderock,Oligochaeta,19,9,10,0
Carderock,Cnephia,16,0,16,0
Carderock,Corydalus,15,7,8,0
Carderock,Lumbriculidae,14,0,0,14
Carderock,Stactobiella,13,0,13,0
Carderock,Teloganopsis,13,1,12,0
Carderock,Hemerodromia,12,0,4,8
Carderock,Agnetina capitata,11,0,0,11
Carderock,Acentrella,10,5,5,0
Carderock,Chimarra,9,5,4,0
Carderock,Corydalus cornutus,9,0,0,9
Carderock,Hydropsyche phalerata,8,0,0,8
Carderock,Hydropsyche scalaris,8,0,0,8
Carderock,Lumbricina,8,0,0,8
Carderock,Heptageniidae,7,5,0,2
Carderock,Baetidae,6,1,5,0
Carderock,Chimarra socia,6,0,0,6
Carderock,Helicopsyche,6,3,3,0
Carderock,Simulium,6,0,0,6
Carderock,Macronychus,5,5,0,0
Carderock,Pleurocera,5,5,0,0
Carderock,Psephenus,5,2,3,0
Carderock,Ancylidae,4,4,0,0
Carderock,Brachycentrus nigrosoma,4,0,0,4
Carderock,Chironomini,4,0,4,0
Carderock,Goniobasis,4,0,4,0
Carderock,Stenacron,4,4,0,0
Carderock,Tvetenia discoloripes,4,0,0,4
Carderock,Acerpenna,3,3,0,0
Carderock,Amnicola,3,3,0,0
Carderock,Dugesia,3,0,3,0
Carderock,Leptoxis carinata,3,0,0,3
Carderock,Maccaffertium mediopunctatum,3,0,0,3
Carderock,Maccaffertium pulchellum,3,0,0,3
Carderock,Physa,3,3,0,0
Carderock,Planaria,3,3,0,0
Carderock,Polypedilum flavum,3,0,0,3
Carderock,Psephenus herricki,3,0,0,3
Carderock,Thienemannimyia,3,0,0,3
Carderock,Acroneuria,2,1,1,0
Carderock,Ceraclea,2,1,1,0
Carderock,Hydropsychidae,2,2,0,0
Carderock,Hydroptila,2,1,1,0
Carderock,Hydroptilidae,2,1,1,0
Carderock,Microcylloepus,2,0,0,2
Carderock,Optioservus trivittatus,2,0,0,2
Carderock,Serratella deficiens,2,0,0,2
Carderock,Taeniopteryx,2,2,0,0
Carderock,Bithynia,1,0,1,0
Carderock,Caenis,1,0,0,1
Carderock,Coenagrionidae,1,1,0,0
Carderock,Cricotopus,1,0,0,1
Carderock,Dubiraphia,1,0,1,0
Carderock,Ectopria,1,1,0,0
Carderock,Ephemerellidae,1,0,0,1
Carderock,Ephemeroptera,1,0,1,0
Carderock,Gomphus,1,0,1,0
Carderock,Hagenius brevistylus,1,0,0,1
Carderock,Lepidostoma,1,0,0,1
Carderock,Leptoceridae,1,0,0,1
Carderock,Lymnaeidae,1,1,0,0
Carderock,Macromia,1,1,0,0
Carderock,Mystacides,1,1,0,0
Carderock,Neurocordulia,1,1,0,0
Carderock,Oecetis,1,0,0,1
Carderock,Polycentropus,1,1,0,0
Carderock,Serratella,1,1,0,0
Carderock,Turbellaria,1,0,0,1
Knoxville,Stenelmis,1555,594,377,584
Knoxville,Isonychia,388,90,144,154
Knoxville,Cheumatopsyche,364,32,196,136
Knoxville,Tricorythodes,292,111,90,91
Knoxville,Corbicula,282,65,77,140
Knoxville,Gammarus,272,75,46,151
Knoxville,Anthopotamus,173,95,17,61
Knoxville,Helicopsyche,122,47,75,0
Knoxville,Hydropsyche,111,30,68,13
Knoxville,Argia,102,55,15,32
Knoxville,Baetis,95,36,46,13
Knoxville,Leptoxis,78,42,36,0
