Reach,Rank,Taxon,Count,2012,2013,2014
KX,1,Stenelmis,1555,594,377,584
KX,2,Isonychia,388,90,144,154
KX,3,Cheumatopsyche,364,32,196,136
KX,4,Tricorythodes,292,111,90,91
KX,5,Corbicula,282,65,77,140
KX,6,Gammarus,272,75,46,151
KX,7,Anthopotamus,173,95,17,61
KX,8,Baetis,135,36,46,53
KX,9,Helicopsyche,124,47,75,2
KX,10,Hydropsyche,123,30,68,25
KX,11,Corydalus,114,38,17,59
KX,12,Argia,102,55,15,32
KX,13,Leptoxis,95,42,36,17
KX,14,Chimarra,93,21,12,60
KX,15,Chironomidae,84,8,17,59
KX,16,Psephenus,59,36,6,17
KX,17,Cnephia,56,6,50,0
KX,18,Leucrocuta,55,9,19,27
KX,19,Orthotrichia,53,0,53,0
KX,20,Heterocloeon,52,3,27,22
KX,21,Maccaffertium,50,5,18,27
KX,22,Optioservus,48,15,17,16
KX,23,Protoptila,48,0,0,48
KX,24,Agnetina,45,24,6,15
KX,25,Oligochaeta,34,7,11,16
KX,26,Teloganopsis,26,8,8,10
KX,27,Acroneuria,24,6,10,8
KX,28,Simulium,23,14,0,9
KX,29,Neureclipsis,20,4,6,10
KX,30,Macrostemum,19,5,8,6
KX,31,Microcylloepus,14,0,2,12
KX,32,Baetidae,13,9,1,3
KX,33,Glossosomatidae,12,12,0,0
KX,34,Petrophila,10,2,3,5
KX,35,Plauditus,10,3,1,6
KX,36,Sialis,9,3,1,5
KX,37,Bithynia,8,0,8,0
KX,38,Caenis,8,1,0,7
KX,39,Platyhelminthes,7,2,1,4
KX,40,Acentrella,6,2,4,0
KX,41,Heptageniidae,6,0,6,0
KX,42,Pisidiidae,6,1,3,2
KX,43,Hydroptila,5,0,3,2
KX,44,Procloeon,5,5,0,0
KX,45,Serratella,5,0,5,0
KX,46,Agapetus,4,4,0,0
KX,47,Amnicola,4,0,4,0
KX,48,Dubiraphia,4,1,2,1
KX,49,Gomphus,4,0,2,2
KX,50,Macronychus,4,2,0,2
KX,51,Ectopria,3,2,0,1
KX,52,Hetaerina,3,1,1,1
KX,53,Physa,3,1,2,0
KX,54,Pseudocloeon,3,2,0,1
KX,55,Acerpenna,2,1,1,0
KX,56,Elmidae,2,2,0,0
KX,57,Ephemeroptera,2,0,2,0
KX,58,Gomphidae,2,0,0,2
KX,59,Hirudinea,2,1,1,0
KX,60,Hydroptilidae,2,0,1,1
KX,61,Neoperla,2,0,2,0
KX,62,Ochrotrichia,2,0,2,0
KX,63,Pycnopsyche,2,2,0,0
KX,64,Antocha,1,0,0,1
KX,65,Berosus,1,0,1,0
KX,66,Calopteryx,1,1,0,0
KX,67,Ceratopsyche,1,0,1,0
KX,68,Crambidae,1,1,0,0
KX,69,Dromogomphus,1,1,0,0
KX,70,Elliptio,1,0,1,0
KX,71,Ephemerellidae,1,1,0,0
KX,72,Erpobdella,1,0,0,1
KX,73,Glossiphoniidae,1,1,0,0
KX,74,Glossosoma,1,1,0,0
KX,75,Hansonoperla,1,0,1,0
KX,76,Helichus,1,1,0,0
KX,77,Helisoma,1,0,1,0
